id	name	brand	size	price_usd	purchased	source
# fill price_usd (number, approx ok), purchased (YYYY-MM),	source (shop/site).	leave a row blank to skip it.				
01-plain-tee	draped mock-neck top	Peachy Den	S			
02-jeans	black wide-leg trousers	In This Era	XS			
03-patterned-dress	printed plisse midi dress	Nin Studio	XS			
04-structured-blazer	black tailored blazer	Musinsa Standard	S			
05-hardest-item	draped jersey maxi dress	Woodrose Deli	XS			
06-aritzia-slouch-coat	slouch double-breasted maxi coat	Aritzia	XS			
07-aritzia-suit-vest	tailored suit vest	Aritzia	XS			
08-bunnyhill-grey-top	asymmetric strap-detail long-sleeve top	Bunnyhill Concept	S			
09-bunnyhill-white-top	draped asymmetric top	Bunnyhill Concept	S			
10-coucou-black-midi-skirt	pointelle midi skirt	Cou Cou Intimates	XS			
11-coucou-black-muse-tank	muse tank	Cou Cou Intimates	XS			
12-coucou-black-scoop-tank	scoop tank	Cou Cou Intimates	XS			
13-coucou-long-sleeve-top	long-sleeve top with curved hem	Cou Cou Intimates	XS			
14-coucou-midi-black-dress	rib midi slip dress	Cou Cou Intimates	XS			
15-coucou-mini-skirt	pointelle mini skirt	Cou Cou Intimates	XS			
16-coucou-red-scoop-tank	scoop tank	Cou Cou Intimates	XS			
17-coucou-slip-dress	pointelle slip dress	Cou Cou Intimates	XS			
18-coucou-white-midi-skirt	pointelle midi skirt	Cou Cou Intimates	XS			
19-coucou-white-scoop-tank	scoop tank	Cou Cou Intimates	XS			
20-entire-studios-eternal-hoodie	eternal cropped zip hoodie	Entire Studios	L			
21-frankies-maxi-dress	tiered maxi dress	Frankies Bikinis	XS			
23-issey-black-tank	pleated high-neck tank	Issey Miyake Pleats Please	3			
24-issey-silver-tank	pleated high-neck tank	Issey Miyake Pleats Please	3			
25-kotn-samira-tank	samira draped tank	Kotn	XS			
26-liniss-dune-pants	dune draped pants	Liniss	M			
27-liniss-pants	lace-up flare trousers	Liniss	M			
28-neil-vernon-long-sleeve-top	wide-cuff gathered blouse	Neil Vernon	XS			
29-nin-pleated-top	pleated print halter top	Studio Nin	XS			
30-off-shoulder-top	off-shoulder sheer top	Find Me Now	XS			
31-orseund-iris-top	corset-back knit top	Orseund Iris	L			
32-personal-language-skirt	draped column maxi skirt	Personal Language	S			
33-realisation-alba-dress	alba slip dress	Réalisation Par	XS			
34-realisation-allegra-dress	allegra maxi dress	Réalisation Par	XS			
35-realisation-delphine-dress	delphine midi dress	Réalisation Par	XS			
36-realisation-liv-dress	liv midi dress	Réalisation Par	XS			
37-realisation-gia-dress	gia maxi dress	Réalisation Par	XS			
38-realisation-iggy-dress	iggy slip dress	Réalisation Par	XS			
39-realisation-ivy-dress	ivy maxi slip dress	Réalisation Par	XS			
40-realisation-sheer-top	sheer flocked tie-front top	Réalisation Par	XS			
41-sagittarius-top	cowl halter top	Sagittarius A+	S			
42-sagittarius-trousers	draped barrel trousers	Sagittarius A+	S			
43-subtle-mermaid-top	mermaid one-shoulder top	Subtle Le Nguyen	M			
44-subtle-mermaid-skirt	mermaid maxi skirt	Subtle Le Nguyen	S			
45-sundae-gorum-shirt	gorum wrap-collar shirt	Sundae School	S			
46-the-idiot-jacket	blouson jacket	The Idiot	S			
47-woodrose-deli-skirt	tie-front knit skirt	Woodrose Deli	XS			
48-woodrose-deli-sweater	off-shoulder sweater	Woodrose Deli	S			
49-jil-sander-boots	leather riding boots	Jil Sander	EU 38			
50-yello-heels	studded mule heels	Yello	US 7			
51-weejuns-loafers	weejuns tassel loafers	G.H. Bass	US 7			
52-camper-flats	square-toe flats	Camper	US 7			
53-keen-sandals	sport thong sandals	Keen	US 7			
54-salomon-sneakers	trail sneakers	Salomon	US 7			
55-asics-sneakers	gel runner sneakers	ASICS	US 7			
56-mizuno-sneakers	wave leather sneakers	Mizuno	US 7.5			
57-puma-ssg-sneakers	sculpted rubber-cage sneakers	Puma	US 7			
58-vortex-long-boots	quilted swirl long boots	Yello	US 7			
59-el-hoodie	painted band hoodie	Eckhaus Latta	M			
